Year,Sport,Country,Gender,Medal Rank,Medal,Age of Athlete,Event,Name of Athlete or Team
1924,Bobsled,Switzerland,Men,1,gold,,Men's Four/Five,Switzerland-1
1924,Bobsled,Britain,Men,2,silver,,Men's Four/Five,Britain-1
1924,Bobsled,Belgium,Men,3,bronze,,Men's Four/Five,Belgium-1
1928,Bobsled,United States,Men,1,gold,,Men's Four/Five,United States-2
1928,Bobsled,United States,Men,2,silver,,Men's Four/Five,United States-1
1928,Bobsled,Germany,Men,3,bronze,,Men's Four/Five,Germany-2
1932,Bobsled,United States,Men,1,gold,,Men's Two,United States-1
1932,Bobsled,Switzerland,Men,2,silver,,Men's Two,Switzerland-2
1932,Bobsled,United States,Men,3,bronze,,Men's Two,United States-2
1932,Bobsled,United States,Men,1,gold,,Men's Four/Five,United States-1
1932,Bobsled,United States,Men,2,silver,,Men's Four/Five,United States-2
1932,Bobsled,Germany,Men,3,bronze,,Men's Four/Five,Germany-1
1936,Bobsled,United States,Men,1,gold,,Men's Two,United States-1
1936,Bobsled,Switzerland,Men,2,silver,,Men's Two,Switzerland-2
1936,Bobsled,United States,Men,3,bronze,,Men's Two,United States-2
1936,Bobsled,Switzerland,Men,1,gold,,Men's Four/Five,Switzerland-2
1936,Bobsled,Switzerland,Men,2,silver,,Men's Four/Five,Switzerland-1
1936,Bobsled,Britain,Men,3,bronze,,Men's Four/Five,Britain
1948,Bobsled,Switzerland,Men,1,gold,,Men's Two,Switzerland-2
1948,Bobsled,Switzerland,Men,2,silver,,Men's Two,Switzerland-1
1948,Bobsled,United States,Men,3,bronze,,Men's Two,United States-2
1948,Bobsled,United States,Men,1,gold,,Men's Four/Five,United States-2
1948,Bobsled,Belgium,Men,2,silver,,Men's Four/Five,Belgium
1948,Bobsled,United States,Men,3,bronze,,Men's Four/Five,United States-1
1952,Bobsled,Germany,Men,1,gold,,Men's Two,Germany-1
1952,Bobsled,United States,Men,2,silver,,Men's Two,United States-1
1952,Bobsled,Switzerland,Men,3,bronze,,Men's Two,Switzerland-1
1952,Bobsled,Germany,Men,1,gold,,Men's Four/Five,Germany
1952,Bobsled,United States,Men,2,silver,,Men's Four/Five,United States-1
